season,round,race_name,circuit_name,driver,constructor
2024,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing
2024,1,Bahrain Grand Prix,Sakhir,PER,Red Bull Racing
2024,1,Bahrain Grand Prix,Sakhir,SAI,Ferrari
2024,1,Bahrain Grand Prix,Sakhir,LEC,Ferrari
2024,1,Bahrain Grand Prix,Sakhir,RUS,Mercedes
2024,1,Bahrain Grand Prix,Sakhir,NOR,McLaren
2024,1,Bahrain Grand Prix,Sakhir,HAM,Mercedes
2024,1,Bahrain Grand Prix,Sakhir,PIA,McLaren
2024,1,Bahrain Grand Prix,Sakhir,ALO,Aston Martin
2024,1,Bahrain Grand Prix,Sakhir,STR,Aston Martin
2024,1,Bahrain Grand Prix,Sakhir,ZHO,Kick Sauber
2024,1,Bahrain Grand Prix,Sakhir,MAG,Haas F1 Team
2024,1,Bahrain Grand Prix,Sakhir,RIC,RB
2024,1,Bahrain Grand Prix,Sakhir,TSU,RB
2024,1,Bahrain Grand Prix,Sakhir,ALB,Williams
2024,1,Bahrain Grand Prix,Sakhir,HUL,Haas F1 Team
2024,1,Bahrain Grand Prix,Sakhir,OCO,Alpine
2024,1,Bahrain Grand Prix,Sakhir,GAS,Alpine
2024,1,Bahrain Grand Prix,Sakhir,BOT,Kick Sauber
2024,1,Bahrain Grand Prix,Sakhir,SAR,Williams
2024,2,Saudi Arabian Grand Prix,Jeddah,VER,Red Bull Racing
2024,2,Saudi Arabian Grand Prix,Jeddah,PER,Red Bull Racing
2024,2,Saudi Arabian Grand Prix,Jeddah,LEC,Ferrari
2024,2,Saudi Arabian Grand Prix,Jeddah,PIA,McLaren
2024,2,Saudi Arabian Grand Prix,Jeddah,ALO,Aston Martin
2024,2,Saudi Arabian Grand Prix,Jeddah,RUS,Mercedes
2024,2,Saudi Arabian Grand Prix,Jeddah,BEA,Ferrari
2024,2,Saudi Arabian Grand Prix,Jeddah,NOR,McLaren
2024,2,Saudi Arabian Grand Prix,Jeddah,HAM,Mercedes
2024,2,Saudi Arabian Grand Prix,Jeddah,HUL,Haas F1 Team
2024,2,Saudi Arabian Grand Prix,Jeddah,ALB,Williams
2024,2,Saudi Arabian Grand Prix,Jeddah,MAG,Haas F1 Team
2024,2,Saudi Arabian Grand Prix,Jeddah,OCO,Alpine
2024,2,Saudi Arabian Grand Prix,Jeddah,SAR,Williams
2024,2,Saudi Arabian Grand Prix,Jeddah,TSU,RB
2024,2,Saudi Arabian Grand Prix,Jeddah,RIC,RB
2024,2,Saudi Arabian Grand Prix,Jeddah,BOT,Kick Sauber
2024,2,Saudi Arabian Grand Prix,Jeddah,ZHO,Kick Sauber
2024,2,Saudi Arabian Grand Prix,Jeddah,STR,Aston Martin
2024,2,Saudi Arabian Grand Prix,Jeddah,GAS,Alpine
2024,3,Australian Grand Prix,Melbourne,SAI,Ferrari
2024,3,Australian Grand Prix,Melbourne,LEC,Ferrari
2024,3,Australian Grand Prix,Melbourne,NOR,McLaren
2024,3,Australian Grand Prix,Melbourne,PIA,McLaren
2024,3,Australian Grand Prix,Melbourne,PER,Red Bull Racing
2024,3,Australian Grand Prix,Melbourne,STR,Aston Martin
2024,3,Australian Grand Prix,Melbourne,TSU,RB
2024,3,Australian Grand Prix,Melbourne,ALO,Aston Martin
2024,3,Australian Grand Prix,Melbourne,HUL,Haas F1 Team
2024,3,Australian Grand Prix,Melbourne,MAG,Haas F1 Team
2024,3,Australian Grand Prix,Melbourne,ALB,Williams
2024,3,Australian Grand Prix,Melbourne,RIC,RB
2024,3,Australian Grand Prix,Melbourne,GAS,Alpine
2024,3,Australian Grand Prix,Melbourne,BOT,Kick Sauber
2024,3,Australian Grand Prix,Melbourne,ZHO,Kick Sauber
2024,3,Australian Grand Prix,Melbourne,OCO,Alpine
2024,3,Australian Grand Prix,Melbourne,RUS,Mercedes
2024,3,Australian Grand Prix,Melbourne,HAM,Mercedes
2024,3,Australian Grand Prix,Melbourne,VER,Red Bull Racing
2024,4,Japanese Grand Prix,Suzuka,VER,Red Bull Racing
2024,4,Japanese Grand Prix,Suzuka,PER,Red Bull Racing
2024,4,Japanese Grand Prix,Suzuka,SAI,Ferrari
2024,4,Japanese Grand Prix,Suzuka,LEC,Ferrari
2024,4,Japanese Grand Prix,Suzuka,NOR,McLaren
2024,4,Japanese Grand Prix,Suzuka,ALO,Aston Martin
2024,4,Japanese Grand Prix,Suzuka,RUS,Mercedes
2024,4,Japanese Grand Prix,Suzuka,PIA,McLaren
2024,4,Japanese Grand Prix,Suzuka,HAM,Mercedes
2024,4,Japanese Grand Prix,Suzuka,TSU,RB
2024,4,Japanese Grand Prix,Suzuka,HUL,Haas F1 Team
2024,4,Japanese Grand Prix,Suzuka,STR,Aston Martin
2024,4,Japanese Grand Prix,Suzuka,MAG,Haas F1 Team
2024,4,Japanese Grand Prix,Suzuka,BOT,Kick Sauber
2024,4,Japanese Grand Prix,Suzuka,OCO,Alpine
2024,4,Japanese Grand Prix,Suzuka,GAS,Alpine
2024,4,Japanese Grand Prix,Suzuka,SAR,Williams
2024,4,Japanese Grand Prix,Suzuka,ZHO,Kick Sauber
2024,4,Japanese Grand Prix,Suzuka,RIC,RB
2024,4,Japanese Grand Prix,Suzuka,ALB,Williams
2024,5,Chinese Grand Prix,Shanghai,VER,Red Bull Racing
2024,5,Chinese Grand Prix,Shanghai,NOR,McLaren
2024,5,Chinese Grand Prix,Shanghai,PER,Red Bull Racing
2024,5,Chinese Grand Prix,Shanghai,LEC,Ferrari
2024,5,Chinese Grand Prix,Shanghai,SAI,Ferrari
2024,5,Chinese Grand Prix,Shanghai,RUS,Mercedes
2024,5,Chinese Grand Prix,Shanghai,ALO,Aston Martin
2024,5,Chinese Grand Prix,Shanghai,PIA,McLaren
2024,5,Chinese Grand Prix,Shanghai,HAM,Mercedes
2024,5,Chinese Grand Prix,Shanghai,HUL,Haas F1 Team
2024,5,Chinese Grand Prix,Shanghai,OCO,Alpine
